version,phase,banner_name,start_date,end_date,featured_5,featured_4,source_url,crawled_at
6.2,2,unknown_banner_6.2_2,2025-01-01,2025-01-21,"['Mavuika', 'Citlali']","['Bennett', 'Diona', 'Kachina', 'Arlecchino', 'Clorinde', 'Rosaria', 'Chevreuse', 'Lan Yan', 'Xiao', 'Qiqi', 'Keqing', 'Tartaglia', 'Ganyu', 'Shenhe', 'Baizhu', 'Primordial Jade Cutter', 'Polar Star', 'Primordial Jade Winged-Spear', 'Calamity Queller', 'Amos', 'The Unforged', 'Summit Shaper', 'Jadefall']",https://game8.co/games/Genshin-Impact/archives/297500,2026-01-13T23:24:35.232191+00:00
6.2,2,unknown_banner_6.2_2,2025-01-21,2025-02-11,"['Arlecchino', 'Clorinde']","['Bennett', 'Diona', 'Kachina', 'Arlecchino', 'Clorinde', 'Rosaria', 'Chevreuse', 'Lan Yan', 'Xiao', 'Qiqi', 'Keqing', 'Tartaglia', 'Ganyu', 'Shenhe', 'Baizhu', 'Primordial Jade Cutter', 'Polar Star', 'Primordial Jade Winged-Spear', 'Calamity Queller', 'Amos', 'The Unforged', 'Summit Shaper', 'Jadefall']",https://game8.co/games/Genshin-Impact/archives/297500,2026-01-13T23:24:35.232191+00:00
6.2,2,unknown_banner_6.2_2,2025-03-04,2025-03-25,"['Furina', 'Wriothesley']","['Bennett', 'Diona', 'Kachina', 'Arlecchino', 'Clorinde', 'Rosaria', 'Chevreuse', 'Lan Yan', 'Xiao', 'Qiqi', 'Keqing', 'Tartaglia', 'Ganyu', 'Shenhe', 'Baizhu', 'Primordial Jade Cutter', 'Polar Star', 'Primordial Jade Winged-Spear', 'Calamity Queller', 'Amos', 'The Unforged', 'Summit Shaper', 'Jadefall']",https://game8.co/games/Genshin-Impact/archives/297500,2026-01-13T23:24:35.232191+00:00
6.2,2,unknown_banner_6.2_2,2025-02-12,2025-03-04,"['Mizuki', 'Sigewinne']","['Xiangling', 'Sayu', ' Gorou', 'Furina', 'Wriothesley', 'Chongyun', 'Mika', 'Charlotte']",https://game8.co/games/Genshin-Impact/archives/297500,2026-01-13T23:24:35.232191+00:00
6.2,2,unknown_banner_6.2_2,2025-03-26,2025-04-15,"['Varesa', 'Xianyun']","['Iansan', 'Chevreuse', 'Gaming', 'Xilonen Banner', 'Venti Banner', 'Xilonen', 'Venti', 'Beidou', 'Yanfei', 'Faruzan']",https://game8.co/games/Genshin-Impact/archives/297500,2026-01-13T23:24:35.232191+00:00
6.2,2,unknown_banner_6.2_2,2025-04-15,2025-05-06,"['Xilonen', 'Venti']","['Iansan', 'Chevreuse', 'Gaming', 'Xilonen Banner', 'Venti Banner', 'Xilonen', 'Venti', 'Beidou', 'Yanfei', 'Faruzan']",https://game8.co/games/Genshin-Impact/archives/297500,2026-01-13T23:24:35.232191+00:00
6.2,2,unknown_banner_6.2_2,2025-05-27,2025-06-17,"['Kinich', 'Raiden Shogun']","['Iansan', 'Chevreuse', 'Gaming', 'Xilonen Banner', 'Venti Banner', 'Xilonen', 'Venti', 'Beidou', 'Yanfei', 'Faruzan']",https://game8.co/games/Genshin-Impact/archives/297500,2026-01-13T23:24:35.232191+00:00
6.2,2,unknown_banner_6.2_2,2025-05-07,2025-05-27,"['Escoffier', 'Navia']","['Layla', 'Ororon', 'Ifa', 'Kinich', 'Raiden', 'Sara', 'Thoma', 'Lynette']",https://game8.co/games/Genshin-Impact/archives/297500,2026-01-13T23:24:35.232191+00:00
6.2,2,unknown_banner_6.2_2,2025-07-08,2025-07-29,"['Mavuika', 'Emilie']","['Layla', 'Ororon', 'Ifa', 'Kinich', 'Raiden', 'Sara', 'Thoma', 'Lynette']",https://game8.co/games/Genshin-Impact/archives/297500,2026-01-13T23:24:35.232191+00:00
6.2,2,unknown_banner_6.2_2,2025-06-18,2025-07-08,"['Skirk', 'Shenhe']","['Diona', 'Candace', 'Dahlia', 'Mavuika', 'Emilie', 'Xiangling', 'Iansan', 'Yaoyao']",https://game8.co/games/Genshin-Impact/archives/297500,2026-01-13T23:24:35.232191+00:00
6.2,2,unknown_banner_6.2_2,2025-07-30,2025-08-19,"['Citlali', 'Ineffa']","['Fischl', 'Xingqiu', 'Sethos', 'Mualani', 'Chasca', 'Bennett', 'Ororon', 'Ifa']",https://game8.co/games/Genshin-Impact/archives/297500,2026-01-13T23:24:35.232191+00:00
6.2,2,unknown_banner_6.2_2,2025-08-19,2025-09-10,"['Mualani', 'Chasca']","['Fischl', 'Xingqiu', 'Sethos', 'Mualani', 'Chasca', 'Bennett', 'Ororon', 'Ifa']",https://game8.co/games/Genshin-Impact/archives/297500,2026-01-13T23:24:35.232191+00:00
6.2,2,unknown_banner_6.2_2,2025-09-10,2025-09-30,"['Nahida', 'Lauma']","['Barbara', 'Shinobu', 'Kaveh', 'Yelan', 'Flins', 'Sucrose', 'Dori', 'Aino', 'Wanderer', 'Cyno', 'Tighnari', 'Alhaitham', 'Dehya', 'Nilou', 'Hunter', 'Staff of the Scarlet Sands', 'Tulaytullah', 'Beacon of the Reed Sea', 'Light of Foliar Incision', 'Key of Khaj-Nisut']",https://game8.co/games/Genshin-Impact/archives/297500,2026-01-13T23:24:35.232191+00:00
6.2,2,unknown_banner_6.2_2,2025-09-30,2025-10-21,"['Flins', 'Yelan']","['Barbara', 'Shinobu', 'Kaveh', 'Yelan', 'Flins', 'Sucrose', 'Dori', 'Aino', 'Wanderer', 'Cyno', 'Tighnari', 'Alhaitham', 'Dehya', 'Nilou', 'Hunter', 'Staff of the Scarlet Sands', 'Tulaytullah', 'Beacon of the Reed Sea', 'Light of Foliar Incision', 'Key of Khaj-Nisut']",https://game8.co/games/Genshin-Impact/archives/297500,2026-01-13T23:24:35.232191+00:00
6.2,2,unknown_banner_6.2_2,2025-11-11,2025-12-02,"['Zhongli', 'Arlecchino']","['Barbara', 'Shinobu', 'Kaveh', 'Yelan', 'Flins', 'Sucrose', 'Dori', 'Aino', 'Wanderer', 'Cyno', 'Tighnari', 'Alhaitham', 'Dehya', 'Nilou', 'Hunter', 'Staff of the Scarlet Sands', 'Tulaytullah', 'Beacon of the Reed Sea', 'Light of Foliar Incision', 'Key of Khaj-Nisut']",https://game8.co/games/Genshin-Impact/archives/297500,2026-01-13T23:24:35.232191+00:00
6.2,2,unknown_banner_6.2_2,2025-10-22,2025-11-11,"['Furina', 'Nefer']","['Xingqiu', 'Collei', 'Yaoyao', 'Zhongli', 'Arlecchino', 'Rosaria', 'Yun Jin', 'Lan Yan']",https://game8.co/games/Genshin-Impact/archives/297500,2026-01-13T23:24:35.232191+00:00
6.2,2,unknown_banner_6.2_2,2025-12-03,2025-12-23,"['Venti', 'Durin']","['Bennett', 'Faruzan', 'Jahoda', 'Xilonen', 'Varesa', 'Iansan', 'Chevreuse', 'Gaming']",https://game8.co/games/Genshin-Impact/archives/297500,2026-01-13T23:24:35.232191+00:00
6.2,2,unknown_banner_6.2_2,2025-12-23,2026-01-13,"['Xilonen', 'Varesa']","['Iansan', 'Chevreuse', 'Gaming']",https://game8.co/games/Genshin-Impact/archives/297500,2026-01-13T23:24:35.232191+00:00
